Date,BTCUSDT Close,ETHUSDT Close
2021-01-01,29278.40000000,744.82000000
2021-01-02,29351.95000000,730.39000000
2021-01-03,32573.87000000,772.37000000
2021-01-04,33505.16000000,1021.41000000
2021-01-05,31200.00000000,1001.76000000
2021-01-06,34117.59000000,1075.49000000
2021-01-07,37454.48000000,1213.17000000
2021-01-08,38347.10000000,1150.10000000
2021-01-09,40211.59000000,1226.53000000
2021-01-10,40316.64000000,1310.97000000
2021-01-11,35438.23000000,1104.14000000
2021-01-12,34984.96000000,1088.52000000
2021-01-13,33818.50000000,1046.72000000
2021-01-14,37045.13000000,1096.39000000
2021-01-15,38700.00000000,1219.07000000
2021-01-16,36532.92000000,1179.34000000
2021-01-17,36177.00000000,1241.20000000
2021-01-18,35106.25000000,1194.07000000
2021-01-19,36465.30000000,1321.50000000
2021-01-20,35062.49000000,1344.03000000
2021-01-21,34571.09000000,1326.50000000
2021-01-22,30943.40000000,1160.73000000
2021-01-23,32365.01000000,1231.67000000
2021-01-24,32480.05000000,1293.33000000
2021-01-25,33568.18000000,1426.91000000
2021-01-26,31518.66000000,1312.80000000
2021-01-27,31800.86000000,1309.00000000
2021-01-28,31404.25000000,1287.59000000
2021-01-29,33733.58000000,1320.82000000
2021-01-30,33273.36000000,1342.71000000
2021-01-31,33930.21000000,1357.49000000
2021-02-01,33573.97000000,1316.92000000
2021-02-02,33550.32000000,1368.79000000
2021-02-03,36403.47000000,1539.57000000
2021-02-04,37498.78000000,1645.84000000
2021-02-05,37366.02000000,1639.99000000
2021-02-06,39384.74000000,1682.19000000
2021-02-07,38841.46000000,1626.53000000
2021-02-08,38076.06000000,1581.46000000
2021-02-09,46599.51000000,1735.04000000
2021-02-10,46221.07000000,1809.45000000
2021-02-11,44582.07000000,1721.86000000
2021-02-12,47587.31000000,1764.57000000
2021-02-13,47829.22000000,1863.87000000
2021-02-14,47267.21000000,1809.03000000
2021-02-15,47120.30000000,1727.64000000
2021-02-16,49624.03000000,1822.00000000
2021-02-17,49657.38000000,1753.61000000
2021-02-18,52032.64000000,1891.99000000
2021-02-19,51245.00000000,1910.21000000
2021-02-20,55706.07000000,2018.93000000
2021-02-21,56505.22000000,1933.71000000
2021-02-22,55860.12000000,1870.36000000
2021-02-23,51906.36000000,1679.91000000
2021-02-24,50874.99000000,1636.57000000
2021-02-25,50206.97000000,1603.87000000
2021-02-26,47330.24000000,1491.25000000
2021-02-27,47423.08000000,1490.86000000
2021-02-28,44629.17000000,1369.29000000
2021-03-01,46336.37000000,1434.06000000
2021-03-02,48974.75000000,1555.48000000
2021-03-03,48704.75000000,1522.67000000
2021-03-04,49574.89000000,1555.08000000
2021-03-05,47289.81000000,1481.67000000
2021-03-06,48657.72000000,1531.70000000
2021-03-07,49551.44000000,1648.98000000
2021-03-08,50598.49000000,1723.68000000
2021-03-09,53840.62000000,1848.00000000
2021-03-10,53467.80000000,1777.33000000
2021-03-11,55992.60000000,1802.35000000
2021-03-12,57104.17000000,1818.09000000
2021-03-13,56694.32000000,1759.29000000
2021-03-14,61356.31000000,1911.00000000
2021-03-15,60379.99000000,1885.55000000
2021-03-16,54272.86000000,1748.59000000
2021-03-17,55506.23000000,1766.66000000
2021-03-18,58712.33000000,1833.66000000
2021-03-19,57779.84000000,1780.06000000
2021-03-20,58367.74000000,1832.88000000
2021-03-21,57790.00000000,1787.12000000
2021-03-22,57563.63000000,1782.93000000
2021-03-23,54684.83000000,1702.19000000
2021-03-24,54350.54000000,1678.89000000
2021-03-25,52122.86000000,1572.15000000
2021-03-26,52407.19000000,1618.73000000
2021-03-27,54760.97000000,1693.00000000
2021-03-28,56052.05000000,1710.97000000
2021-03-29,55371.60000000,1696.12000000
2021-03-30,57181.33000000,1797.25000000
2021-03-31,58608.63000000,1823.17000000
2021-04-01,59119.02000000,1922.80000000
2021-04-02,59869.79000000,1996.63000000
2021-04-03,59221.53000000,2093.10000000
2021-04-04,57492.42000000,2015.27000000
2021-04-05,57467.12000000,2028.66000000
2021-04-06,58608.70000000,2114.18000000
2021-04-07,57922.75000000,2104.99000000
2021-04-08,56540.62000000,1997.12000000
2021-04-09,57985.71000000,2072.80000000
2021-04-10,59229.50000000,2144.40000000
2021-04-11,60268.58000000,2144.67000000
2021-04-12,60368.96000000,2148.88000000
2021-04-13,60493.43000000,2163.35000000
2021-04-14,63749.19000000,2346.97000000
2021-04-15,63056.61000000,2475.75000000
2021-04-16,62937.91000000,2497.57000000
2021-04-17,62372.27000000,2486.79000000
2021-04-18,55014.46000000,2158.90000000
2021-04-19,57030.90000000,2266.21000000
2021-04-20,54764.12000000,2096.73000000
2021-04-21,55204.60000000,2284.00000000
2021-04-22,53497.09000000,2390.48000000
2021-04-23,50298.76000000,2282.74000000
2021-04-24,50109.93000000,2296.81000000
2021-04-25,49615.54000000,2187.18000000
2021-04-26,52398.99000000,2455.16000000
2021-04-27,53460.30000000,2493.16000000
2021-04-28,54774.05000000,2627.29000000
2021-04-29,54265.10000000,2694.15000000
2021-04-30,53679.03000000,2743.41000000
2021-05-01,58178.67000000,2839.01000000
2021-05-02,56450.19000000,2901.51000000
2021-05-03,57925.80000000,3054.33000000
2021-05-04,55452.17000000,3232.25000000
2021-05-05,54795.19000000,3296.34000000
2021-05-06,56797.09000000,3469.18000000
2021-05-07,55705.67000000,3424.01000000
2021-05-08,58099.98000000,3532.10000000
2021-05-09,58632.78000000,3870.09000000
2021-05-10,59356.76000000,4054.58000000
2021-05-11,55142.46000000,3855.52000000
2021-05-12,57756.94000000,4332.81000000
2021-05-13,50461.99000000,3941.08000000
2021-05-14,49157.93000000,3790.81000000
2021-05-15,49627.01000000,4025.63000000
2021-05-16,48383.46000000,3826.23000000
2021-05-17,42915.46000000,3240.13000000
2021-05-18,44779.83000000,3384.57000000
2021-05-19,40591.15000000,3097.23000000
2021-05-20,38341.04000000,2472.46000000
2021-05-21,40666.91000000,2790.86000000
2021-05-22,36951.85000000,2329.99000000
2021-05-23,37421.59000000,2317.80000000
2021-05-24,35251.37000000,2141.29000000
2021-05-25,38304.51000000,2582.48000000
2021-05-26,39503.98000000,2840.45000000
2021-05-27,37621.56000000,2679.26000000
2021-05-28,38237.18000000,2716.07000000
2021-05-29,36458.77000000,2525.29000000
2021-05-30,34770.12000000,2296.12000000
2021-05-31,34489.57000000,2300.77000000
2021-06-01,36704.99000000,2630.79000000
2021-06-02,36472.39000000,2615.40000000
