Date,BTCUSDT Close,ETHUSDT Close,ETCUSDT Close,LTCUSDT Close
2022-03-01,44421.20000000,2976.33000000,30.34000000,112.50000000
2022-03-02,43892.98000000,2947.30000000,29.52000000,110.30000000
2022-03-03,42454.00000000,2833.99000000,30.23000000,111.70000000
2022-03-04,39148.66000000,2622.10000000,27.59000000,101.00000000
2022-03-05,39397.96000000,2665.15000000,27.84000000,104.90000000
2022-03-06,38420.81000000,2551.29000000,26.55000000,101.10000000
2022-03-07,37988.00000000,2491.12000000,26.13000000,98.40000000
2022-03-08,38730.63000000,2575.97000000,26.74000000,100.70000000
2022-03-09,41941.71000000,2726.98000000,28.05000000,106.90000000
2022-03-10,39422.00000000,2606.70000000,26.69000000,102.50000000
2022-03-11,38729.57000000,2556.86000000,26.48000000,104.60000000
2022-03-12,38807.36000000,2568.80000000,26.30000000,105.60000000
2022-03-13,37777.34000000,2515.65000000,25.36000000,101.70000000
2022-03-14,39671.37000000,2589.41000000,25.93000000,105.60000000
2022-03-15,39280.33000000,2617.73000000,25.85000000,106.80000000
2022-03-16,41114.00000000,2773.81000000,27.36000000,111.40000000
2022-03-17,40917.90000000,2811.92000000,27.15000000,110.20000000
2022-03-18,41757.51000000,2938.92000000,28.05000000,111.90000000
2022-03-19,42201.13000000,2950.84000000,34.01000000,116.80000000
2022-03-20,41262.11000000,2861.38000000,38.17000000,114.90000000
2022-03-21,41002.25000000,2890.03000000,38.39000000,116.00000000
2022-03-22,42364.13000000,2969.64000000,45.86000000,122.70000000
2022-03-23,42882.76000000,3036.00000000,45.13000000,122.40000000
2022-03-24,43991.46000000,3110.76000000,48.52000000,126.50000000
2022-03-25,44313.16000000,3102.14000000,48.15000000,123.90000000
2022-03-26,44511.27000000,3145.00000000,47.18000000,124.80000000
2022-03-27,46827.76000000,3295.65000000,48.00000000,129.70000000
2022-03-28,47122.21000000,3332.92000000,47.07000000,127.60000000
2022-03-29,47434.80000000,3400.51000000,49.28000000,130.10000000
2022-03-30,47067.99000000,3385.79000000,49.66000000,131.10000000
2022-03-31,45510.34000000,3281.51000000,47.45000000,123.80000000
2022-04-01,46283.49000000,3455.21000000,47.18000000,124.80000000
2022-04-02,45811.00000000,3443.77000000,45.49000000,124.80000000
2022-04-03,46407.35000000,3521.91000000,46.71000000,128.70000000
2022-04-04,46580.51000000,3519.50000000,46.74000000,124.80000000
2022-04-05,45497.55000000,3406.99000000,44.39000000,122.70000000
2022-04-06,43170.47000000,3168.51000000,38.43000000,111.70000000
2022-04-07,43444.19000000,3227.19000000,43.45000000,114.10000000
2022-04-08,42252.01000000,3192.39000000,40.49000000,110.70000000
2022-04-09,42753.97000000,3258.57000000,41.96000000,112.70000000
2022-04-10,42158.85000000,3203.04000000,40.32000000,110.30000000
2022-04-11,39530.45000000,2979.74000000,37.00000000,102.40000000
2022-04-12,40074.94000000,3027.66000000,38.12000000,104.80000000
2022-04-13,41147.79000000,3118.28000000,38.59000000,110.50000000
2022-04-14,39942.38000000,3021.98000000,37.05000000,107.30000000
2022-04-15,40551.90000000,3040.56000000,37.35000000,111.00000000
2022-04-16,40378.71000000,3059.30000000,38.14000000,114.30000000
2022-04-17,39678.12000000,2988.06000000,36.60000000,108.80000000
2022-04-18,40801.13000000,3055.56000000,36.90000000,111.30000000
2022-04-19,41493.18000000,3101.77000000,37.80000000,113.80000000
2022-04-20,41358.19000000,3076.04000000,36.54000000,111.90000000
2022-04-21,40480.01000000,2983.58000000,34.89000000,106.80000000
2022-04-22,39709.18000000,2962.39000000,35.53000000,105.40000000
2022-04-23,39441.60000000,2933.03000000,34.54000000,105.10000000
2022-04-24,39450.13000000,2921.00000000,33.63000000,104.60000000
2022-04-25,40426.08000000,3006.62000000,33.64000000,104.60000000
2022-04-26,38112.65000000,2809.67000000,30.69000000,98.60000000
2022-04-27,39235.72000000,2888.96000000,31.27000000,100.50000000
2022-04-28,39742.07000000,2936.93000000,31.12000000,103.30000000
2022-04-29,38596.11000000,2817.13000000,29.19000000,100.40000000
2022-04-30,37630.80000000,2726.66000000,25.89000000,95.80000000
2022-05-01,38468.35000000,2824.81000000,27.66000000,99.30000000
2022-05-02,38525.16000000,2856.54000000,27.41000000,100.70000000
2022-05-03,37728.95000000,2781.70000000,26.83000000,99.40000000
2022-05-04,39690.00000000,2940.64000000,30.64000000,106.30000000
2022-05-05,36552.97000000,2747.97000000,28.31000000,96.80000000
2022-05-06,36013.77000000,2692.85000000,27.95000000,96.70000000
2022-05-07,35472.39000000,2635.34000000,26.84000000,94.30000000
2022-05-08,34038.40000000,2519.71000000,26.52000000,93.90000000
2022-05-09,30076.31000000,2228.55000000,22.72000000,76.20000000
2022-05-10,31017.10000000,2342.05000000,23.89000000,80.20000000
2022-05-11,29103.94000000,2084.99000000,19.98000000,66.60000000
2022-05-12,29029.75000000,1960.22000000,18.89000000,64.50000000
2022-05-13,29287.05000000,2009.69000000,20.48000000,67.90000000
2022-05-14,30086.74000000,2056.48000000,21.08000000,68.90000000
2022-05-15,31328.89000000,2145.29000000,22.16000000,71.60000000
2022-05-16,29874.01000000,2023.66000000,20.88000000,67.30000000
2022-05-17,30444.93000000,2090.72000000,21.77000000,73.20000000
2022-05-18,28715.32000000,1915.11000000,19.80000000,66.00000000
2022-05-19,30319.23000000,2019.55000000,20.89000000,72.10000000
2022-05-20,29201.01000000,1959.08000000,20.16000000,68.60000000
2022-05-21,29445.06000000,1975.07000000,20.35000000,69.80000000
2022-05-22,30293.94000000,2043.19000000,21.08000000,71.70000000
2022-05-23,29109.15000000,1973.32000000,21.86000000,69.10000000
2022-05-24,29654.58000000,1979.41000000,24.22000000,70.20000000
2022-05-25,29542.15000000,1942.63000000,23.73000000,68.20000000
2022-05-26,29201.35000000,1792.23000000,21.90000000,63.50000000
2022-05-27,28629.80000000,1727.27000000,22.51000000,61.60000000
2022-05-28,29031.33000000,1792.22000000,22.74000000,63.00000000
2022-05-29,29468.10000000,1813.64000000,23.67000000,63.60000000
2022-05-30,31734.22000000,1998.78000000,24.84000000,69.10000000
2022-05-31,31801.04000000,1941.90000000,23.77000000,68.40000000
2022-06-01,29805.83000000,1817.95000000,22.02000000,62.70000000
2022-06-02,30452.62000000,1834.08000000,22.42000000,64.50000000
2022-06-03,29700.21000000,1775.12000000,21.84000000,62.60000000
2022-06-04,29864.04000000,1804.58000000,21.98000000,63.70000000
2022-06-05,29919.21000000,1806.23000000,21.82000000,63.20000000
2022-06-06,31373.10000000,1859.84000000,22.52000000,64.50000000
2022-06-07,31125.33000000,1813.33000000,21.54000000,63.80000000
2022-06-08,30204.77000000,1791.88000000,21.28000000,61.30000000
2022-06-09,30109.93000000,1788.81000000,21.17000000,60.30000000
2022-06-10,29091.88000000,1662.91000000,20.00000000,56.70000000
2022-06-11,28424.70000000,1532.89000000,18.22000000,52.20000000
2022-06-12,26574.53000000,1434.84000000,16.56000000,47.90000000
2022-06-13,22487.41000000,1209.82000000,14.45000000,43.50000000
2022-06-14,22136.41000000,1208.90000000,14.57000000,46.15000000
2022-06-15,22583.72000000,1237.52000000,15.88000000,50.65000000
2022-06-16,20401.31000000,1068.50000000,13.82000000,44.78000000
2022-06-17,20468.81000000,1086.94000000,14.35000000,47.60000000
2022-06-18,18970.79000000,995.13000000,13.67000000,47.18000000
2022-06-19,20574.00000000,1128.53000000,15.37000000,54.29000000
2022-06-20,20573.89000000,1128.24000000,16.24000000,52.77000000
2022-06-21,20723.52000000,1125.85000000,16.14000000,53.52000000
2022-06-22,19987.99000000,1050.19000000,15.20000000,52.13000000
2022-06-23,21110.13000000,1144.72000000,15.93000000,55.74000000
2022-06-24,21237.69000000,1225.02000000,16.41000000,55.84000000
2022-06-25,21491.19000000,1242.36000000,16.55000000,58.88000000
2022-06-26,21038.07000000,1197.79000000,16.69000000,56.61000000
2022-06-27,20742.56000000,1192.51000000,16.56000000,55.86000000
2022-06-28,20281.29000000,1144.05000000,15.44000000,52.68000000
2022-06-29,20123.01000000,1100.21000000,15.23000000,53.68000000
2022-06-30,19942.21000000,1071.01000000,15.01000000,53.84000000
2022-07-01,19279.80000000,1059.73000000,14.64000000,51.19000000
2022-07-02,19252.81000000,1067.01000000,14.77000000,50.55000000
2022-07-03,19315.83000000,1074.26000000,14.81000000,50.95000000
2022-07-04,20236.71000000,1151.00000000,15.40000000,52.26000000
2022-07-05,20175.83000000,1132.50000000,14.93000000,49.70000000
2022-07-06,20564.51000000,1186.57000000,15.22000000,50.34000000
2022-07-07,21624.98000000,1237.49000000,15.88000000,52.15000000
2022-07-08,21594.75000000,1214.04000000,15.57000000,51.35000000
