Date,Open,High,Low,Close,Volume,OpenInterest
2022-01-01,46216.93000000,46949.99000000,46208.37000000,46813.20000000,3495.20465000,0.0
2022-01-01,46813.21000000,47555.55000000,46591.23000000,47194.73000000,3522.79888000,0.0
2022-01-01,47194.73000000,47344.69000000,46715.39000000,46758.87000000,2729.67811000,0.0
2022-01-01,46758.87000000,47491.14000000,46756.30000000,47219.04000000,3055.90946000,0.0
2022-01-01,47219.04000000,47954.63000000,47186.07000000,47329.78000000,4061.67681000,0.0
2022-01-01,47329.79000000,47814.00000000,47222.22000000,47722.65000000,2739.19534000,0.0
2022-01-02,47722.66000000,47750.00000000,47269.47000000,47329.47000000,2387.90724000,0.0
2022-01-02,47329.47000000,47415.73000000,46770.23000000,47173.45000000,3018.46827000,0.0
2022-01-02,47173.44000000,47499.45000000,46970.05000000,47235.50000000,2119.84865000,0.0
2022-01-02,47238.89000000,47447.00000000,47013.50000000,47340.47000000,2780.32874000,0.0
2022-01-02,47340.47000000,47990.00000000,46654.00000000,46907.68000000,5597.88593000,0.0
2022-01-02,46907.67000000,47469.34000000,46815.17000000,47286.18000000,2436.02157000,0.0
2022-01-03,47286.18000000,47289.11000000,46722.39000000,46793.26000000,2994.31942000,0.0
2022-01-03,46793.27000000,47211.09000000,46750.00000000,47051.37000000,2838.97703000,0.0
2022-01-03,47051.36000000,47431.67000000,46778.00000000,47378.00000000,4262.39073000,0.0
2022-01-03,47378.00000000,47570.00000000,46575.25000000,46693.45000000,5463.72051000,0.0
2022-01-03,46693.44000000,46790.00000000,46263.29000000,46360.01000000,5861.46189000,0.0
2022-01-03,46360.01000000,46576.94000000,45696.00000000,46446.10000000,6241.20752000,0.0
2022-01-04,46446.10000000,46549.19000000,45934.50000000,46313.97000000,3604.76267000,0.0
2022-01-04,46313.96000000,46600.21000000,45996.26000000,46550.00000000,5734.35172000,0.0
2022-01-04,46549.99000000,46772.41000000,46300.00000000,46733.77000000,4686.53220000,0.0
2022-01-04,46733.78000000,47557.54000000,46410.00000000,46925.35000000,8065.90334000,0.0
2022-01-04,46925.34000000,46984.99000000,45500.00000000,46052.36000000,9855.45649000,0.0
2022-01-04,46052.35000000,46428.27000000,45760.05000000,45832.01000000,3544.40718000,0.0
2022-01-05,45832.01000000,46549.00000000,45722.21000000,46422.55000000,3034.64069000,0.0
2022-01-05,46422.56000000,46527.39000000,46246.01000000,46407.51000000,2185.03432000,0.0
2022-01-05,46407.50000000,47070.00000000,46110.00000000,46270.99000000,5623.80527000,0.0
2022-01-05,46271.00000000,46822.17000000,45803.67000000,46622.53000000,6056.26257000,0.0
2022-01-05,46622.53000000,46674.37000000,44500.00000000,44685.93000000,13258.75934000,0.0
2022-01-05,44685.93000000,44847.99000000,42500.00000000,43451.13000000,21625.61638000,0.0
2022-01-06,43451.14000000,43816.00000000,42803.37000000,42835.00000000,7907.29623000,0.0
2022-01-06,42835.00000000,43275.80000000,42600.05000000,43245.25000000,7148.39091000,0.0
2022-01-06,43245.26000000,43273.87000000,42430.58000000,42878.34000000,7751.79420000,0.0
2022-01-06,42878.33000000,43267.09000000,42632.44000000,42950.01000000,7414.23595000,0.0
2022-01-06,42950.02000000,43508.78000000,42725.09000000,43438.10000000,5500.53168000,0.0
2022-01-06,43438.11000000,43581.30000000,43007.81000000,43082.31000000,3158.12408000,0.0
2022-01-07,43082.30000000,43145.83000000,41577.77000000,41803.11000000,9110.36283000,0.0
2022-01-07,41803.11000000,41950.00000000,41000.00000000,41706.71000000,12822.50440000,0.0
2022-01-07,41706.71000000,42883.47000000,41607.50000000,42258.62000000,7627.20984000,0.0
2022-01-07,42258.62000000,42766.17000000,40610.00000000,41319.11000000,13946.04637000,0.0
2022-01-07,41310.85000000,42315.85000000,40917.66000000,41775.38000000,7870.74271000,0.0
2022-01-07,41775.38000000,42054.00000000,41336.82000000,41566.48000000,3459.64203000,0.0
2022-01-08,41566.48000000,42246.37000000,41558.00000000,41810.91000000,3546.24518000,0.0
