Date,Open,High,Low,Close,Volume,OpenInterest
1640995200.0,46216.93000000,46731.39000000,46208.37000000,46656.13000000,1503.33095000,0.0
1640998800.0,46656.14000000,46949.99000000,46574.06000000,46778.14000000,943.81539000,0.0
1641002400.0,46778.14000000,46928.94000000,46721.96000000,46811.77000000,485.16860000,0.0
1641006000.0,46811.77000000,46916.63000000,46760.12000000,46813.20000000,562.88971000,0.0
1641009600.0,46813.21000000,46887.33000000,46591.23000000,46711.05000000,861.88389000,0.0
1641013200.0,46711.05000000,47555.55000000,46673.94000000,47192.55000000,1400.73642000,0.0
1641016800.0,47192.56000000,47324.42000000,46940.00000000,46979.62000000,613.97776000,0.0
1641020400.0,46979.61000000,47255.85000000,46864.84000000,47194.73000000,646.20081000,0.0
1641024000.0,47194.73000000,47344.69000000,47075.11000000,47124.82000000,532.44767000,0.0
1641027600.0,47124.82000000,47215.56000000,46933.58000000,47143.98000000,541.32491000,0.0
1641031200.0,47143.98000000,47298.75000000,46715.39000000,46871.08000000,923.01760000,0.0
1641034800.0,46871.09000000,47007.73000000,46756.77000000,46758.87000000,732.88793000,0.0
1641038400.0,46758.87000000,47150.48000000,46756.30000000,47074.05000000,582.15009000,0.0
1641042000.0,47074.05000000,47199.67000000,46935.09000000,47023.24000000,454.14412000,0.0
1641045600.0,47023.24000000,47100.00000000,46850.18000000,46926.22000000,503.66220000,0.0
1641049200.0,46920.01000000,47491.14000000,46871.69000000,47219.04000000,1515.95305000,0.0
1641052800.0,47219.04000000,47527.24000000,47186.07000000,47268.62000000,1049.57919000,0.0
1641056400.0,47268.61000000,47954.63000000,47238.81000000,47754.48000000,1320.66577000,0.0
1641060000.0,47754.47000000,47844.97000000,47420.00000000,47560.55000000,860.76025000,0.0
1641063600.0,47560.54000000,47611.84000000,47292.72000000,47329.78000000,830.67160000,0.0
1641067200.0,47329.79000000,47559.03000000,47250.18000000,47391.82000000,717.20792000,0.0
1641070800.0,47391.82000000,47573.05000000,47268.79000000,47319.67000000,809.21927000,0.0
1641074400.0,47319.66000000,47490.98000000,47222.22000000,47440.74000000,466.47861000,0.0
1641078000.0,47440.74000000,47814.00000000,47277.77000000,47722.65000000,746.28954000,0.0
1641081600.0,47722.66000000,47750.00000000,47381.12000000,47625.30000000,1082.50817000,0.0
1641085200.0,47625.29000000,47641.83000000,47315.38000000,47377.97000000,465.75360000,0.0
1641088800.0,47377.97000000,47449.56000000,47275.50000000,47370.50000000,452.39245000,0.0
1641092400.0,47370.49000000,47467.11000000,47269.47000000,47329.47000000,387.25302000,0.0
1641096000.0,47329.47000000,47415.73000000,46770.23000000,46910.30000000,1259.68820000,0.0
1641099600.0,46910.30000000,47089.63000000,46832.08000000,47081.28000000,686.20377000,0.0
1641103200.0,47081.28000000,47244.00000000,47011.24000000,47122.61000000,528.20197000,0.0
1641106800.0,47122.60000000,47300.00000000,47087.62000000,47173.45000000,544.37433000,0.0
1641110400.0,47173.44000000,47247.12000000,46970.05000000,47222.40000000,578.28603000,0.0
1641114000.0,47222.40000000,47499.45000000,47144.12000000,47273.24000000,792.44368000,0.0
1641117600.0,47273.23000000,47348.34000000,47140.30000000,47188.89000000,390.08901000,0.0
1641121200.0,47188.88000000,47400.00000000,47159.57000000,47235.50000000,359.02993000,0.0
1641124800.0,47238.89000000,47447.00000000,47013.50000000,47292.95000000,798.05773000,0.0
1641128400.0,47289.67000000,47300.86000000,47090.00000000,47137.35000000,580.44121000,0.0
1641132000.0,47137.35000000,47202.39000000,47020.00000000,47112.55000000,617.66611000,0.0
